0,1
56.0,"(3920.361663865093, 4124, 4327.638336134907)"
58.0,"(3990.7166316931725, 4227, 4463.2833683068275)"
66.8,"(4633.878490136723, 4847, 5060.121509863277)"
71.8,"(1448.7659097069209, 3424, 5399.234090293079)"
77.9,"(5055.048561582563, 5434, 5812.951438417437)"
82.4,"(6118.152760804259, 6673, 7227.847239195741)"
88.6,"(5331.347639462789, 5935, 6538.652360537211)"
96.7,"(7088.01474083349, 7241, 7393.98525916651)"
102.1,"(7454.256327697675, 7765, 8075.743672302325)"
117.1,"(8471.594068987079, 9801, 11130.405931012921)"
119.7,"(8560.067389189424, 8604, 8647.932610810576)"
121.5,"(6989.986860234696, 7880, 8770.013139765304)"
127.8,"(8184.705008893146, 8691, 9197.294991106854)"
132.7,"(9529.625319928058, 10446, 11362.374680071942)"
134.7,"(8464.729647900022, 9065, 9665.270352099978)"
136.0,"(8294.560376988273, 9024, 9753.439623011727)"
149.9,"(10696.172596606577, 10715, 10733.827403393423)"
151.4,"(10594.093629264484, 10696, 10797.906370735516)"
158.9,"(11306.575241380218, 12012, 12717.424758619782)"
176.8,"(12520.598279318907, 12871, 13221.401720681093)"
183.9,"(13002.138143529224, 13707, 14411.861856470776)"
185.6,"(13117.436420875356, 14634, 16150.563579124644)"
202.3,"(14250.072439510894, 14764, 15277.927560489106)"
202.5,"(12772.363057271914, 13518, 14263.636942728086)"
215.4,"(14865.452599763026, 15002, 15138.547400236974)"
235.9,"(16528.908979999156, 17371, 18213.091020000844)"
236.1,"(14591.526516783651, 15567, 16542.47348321635)"
238.9,"(16641.62347174296, 16687, 16732.37652825704)"
238.9,"(13377.623471742962, 15055, 16732.37652825704)"
262.2,"(18111.35884694009, 18212, 18312.64115305991)"
274.6,"(19153.64035252582, 22436, 25718.35964747418)"
280.1,"(18467.335809001397, 18997, 19526.664190998603)"
303.4,"(21106.92881580147, 21190, 21273.07118419853)"
309.5,"(21520.64616392583, 23646, 25771.35383607417)"
391.5,"(25553.90751702543, 26318, 27082.09248297457)"
467.0,"(28303.30755253543, 30253, 32202.69244746457)"
